Position 0: 559.065, 557.221, 582.427, 550.122, 553.605, 540.652, 547.731, 549.091, 575.458, 554.061
Position 1: 660.24, 676.113, 668.239, 665.603, 654.129, 663.44, 666.749, 658.944, 659.878, 655.305
Position 2: 479.312, 483.214, 490.706, 494.348, 487.263, 477.292, 481.117, 484.837, 483.112, 496.876
Position 3: 721.081, 711.842, 715.927, 706.856, 730.759, 722.054, 719.586, 712.346, 703.536, 709.62
